"Anio","Mes","Dia","latitude","longitude","Altitud","T","TM","Tm","SLP","H","PP","VV","V","VM","VG","RA","SN","TS","FG"
"2020.0","3.0","14.0","-13.55","-71.98","3248.0","14.7","21.0","8.1","","52.0","0.0","10.0","8.1","25.9","","","","",""
"2020.0","3.0","15.0","-13.55","-71.98","3248.0","13.7","21.0","8.6","","62.0","5.08","8.7","8.1","20.6","","0.0","","",""
"2020.0","3.0","16.0","-13.55","-71.98","3248.0","12.7","","","","","","","","","","0.0","","0.0",""
"2020.0","3.0","17.0","-13.55","-71.98","3248.0","12.0","","","","","","","","","","0.0","","",""
"2020.0","3.0","18.0","-13.55","-71.98","3248.0","12.4","","","","","","","","","","","","",""
"2020.0","3.0","19.0","-13.55","-71.98","3248.0","16.3","22.0","6.6","","50.0","0.0","10.0","7.2","22.2","","","","",""
"2020.0","3.0","20.0","-13.55","-71.98","3248.0","16.3","20.0","12.0","","48.0","0.0","10.0","7.4","22.2","","","","",""
"2020.0","3.0","21.0","-13.55","-71.98","3248.0","13.5","16.0","9.0","","60.0","0.0","10.0","5.7","16.5","","","","",""
"2020.0","3.0","22.0","-13.55","-71.98","3248.0","17.0","","","","","","","","","","","","",""
"2020.0","3.0","23.0","-13.55","-71.98","3248.0","16.2","","","","","","","","","","","","",""
"2020.0","3.0","24.0","-13.55","-71.98","3248.0","17.2","","","","","","","","","","0.0","","",""
"2020.0","3.0","25.0","-13.55","-71.98","3248.0","16.3","21.0","8.9","","52.0","0.0","10.0","8.0","14.8","","","","",""
"2020.0","3.0","26.0","-13.55","-71.98","3248.0","17.3","22.0","6.8","","47.0","2.03","10.0","9.1","24.1","","","","",""
"2020.0","3.0","27.0","-13.55","-71.98","3248.0","15.8","20.0","8.8","","55.0","13.97","9.8","9.6","24.1","","","","",""
"2020.0","3.0","28.0","-13.55","-71.98","3248.0","14.6","","","","","","","","","","","","",""
"2020.0","3.0","29.0","-13.55","-71.98","3248.0","14.4","","","","","","","","","","","","",""
"2020.0","3.0","30.0","-13.55","-71.98","3248.0","14.1","","","","","","","","","","0.0","","",""
"2020.0","3.0","31.0","-13.55","-71.98","3248.0","14.6","20.0","8.1","","54.0","0.0","10.0","5.0","20.6","","","","",""
"2020.0","4.0","0.0","-13.55","-71.98","3248.0","15.6","20.7","6.0","","46.1","0.51","10.0","6.6","19.2","","4.0","0.0","2.0","0.0"
"2020.0","4.0","1.0","-13.55","-71.98","3248.0","15.3","20.0","8.3","","49.0","0.0","10.0","11.3","25.9","53.5","","","",""
"2020.0","4.0","2.0","-13.55","-71.98","3248.0","15.7","20.0","4.7","","46.0","0.0","10.0","7.2","22.2","","","","",""
"2020.0","4.0","3.0","-13.55","-71.98","3248.0","15.8","20.0","4.7","","46.0","0.0","10.0","5.0","9.4","","","","",""
"2020.0","4.0","4.0","-13.55","-71.98","3248.0","14.2","19.0","8.1","","","","","","","","","","",""
"2020.0","4.0","5.0","-13.55","-71.98","3248.0","14.2","18.2","7.1","","","","","","","","","","",""
"2020.0","4.0","6.0","-13.55","-71.98","3248.0","15.2","20.0","8.3","","","","","","","","","","0.0",""
"2020.0","4.0","7.0","-13.55","-71.98","3248.0","16.4","23.0","5.1","","50.0","0.0","10.0","3.9","16.5","","","","",""
"2020.0","4.0","8.0","-13.55","-71.98","3248.0","17.3","22.0","9.2","","45.0","0.0","10.0","5.0","25.9","","","","",""
"2020.0","4.0","9.0","-13.55","-71.98","3248.0","16.5","22.0","8.0","","48.0","0.0","10.0","6.1","13.0","","","","",""
"2020.0","4.0","10.0","-13.55","-71.98","3248.0","15.6","","","","","","","","","","0.0","","",""
"2020.0","4.0","11.0","-13.55","-71.98","3248.0","16.9","","","","","","","","","","","","",""
"2020.0","4.0","12.0","-13.55","-71.98","3248.0","17.1","","","","","","","","","","","","",""
"2020.0","4.0","13.0","-13.55","-71.98","3248.0","16.4","22.0","8.0","","41.0","0.0","10.0","5.4","24.1","","","","",""
"2020.0","4.0","14.0","-13.55","-71.98","3248.0","16.6","22.0","3.9","","39.0","0.0","10.0","5.7","14.8","","","","",""
"2020.0","4.0","15.0","-13.55","-71.98","3248.0","16.1","22.0","4.3","","40.0","0.0","10.0","7.6","18.3","37.0","","","",""
"2020.0","4.0","16.0","-13.55","-71.98","3248.0","15.8","","","","","","","","","","","","",""
"2020.0","4.0","17.0","-13.55","-71.98","3248.0","14.2","","","","","","","","","","0.0","","",""
"2020.0","4.0","18.0","-13.55","-71.98","3248.0","14.6","","","","","","","","","","0.0","","0.0",""
"2020.0","4.0","19.0","-13.55","-71.98","3248.0","13.9","21.0","5.9","","47.0","0.0","10.0","5.6","13.0","","","","",""
"2020.0","4.0","20.0","-13.55","-71.98","3248.0","15.1","21.0","1.7","","35.0","0.0","10.0","5.4","14.8","","","","",""
"2020.0","4.0","21.0","-13.55","-71.98","3248.0","14.9","22.0","1.6","","33.0","0.0","10.0","4.3","14.8","","","","",""
"2020.0","4.0","22.0","-13.55","-71.98","3248.0","16.7","","","","","","","","","","","","",""
"2020.0","4.0","23.0","-13.55","-71.98","3248.0","14.3","","","","","","","","","","0.0","","",""
"2020.0","4.0","24.0","-13.55","-71.98","3248.0","16.4","","","","","","","","","","","","",""
"2020.0","4.0","25.0","-13.55","-71.98","3248.0","15.4","21.0","4.7","","46.0","0.0","10.0","5.4","14.8","","","","",""
"2020.0","4.0","26.0","-13.55","-71.98","3248.0","13.7","17.0","5.1","","62.0","0.0","10.0","4.4","13.0","","","","",""
"2020.0","4.0","27.0","-13.55","-71.98","3248.0","15.6","20.0","8.8","","45.0","0.0","10.0","8.3","18.3","","","","",""
"2020.0","4.0","28.0","-13.55","-71.98","3248.0","16.5","","","","","","","","","","","","",""
"2020.0","4.0","29.0","-13.55","-71.98","3248.0","15.3","","","","","","","","","","","","",""
"2020.0","4.0","30.0","-13.55","-71.98","3248.0","16.1","","","","","","","","","","","","",""
